"","X","order","Col2","S_ID","sample.","site","month","day","microsite","rep","method","location","quantity","order.1","family","subfamily","Col16","genus","species","highest.rtu","Size..mm.","width","sex","Col23","uniID"
"47",752,1503,NA,NA,NA,"Coal","Aug",11,"shrub",5,"PT","ET",6,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugshrub5"
"48",753,1657,226,NA,NA,"Coal","July",19,"shrub",5,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyshrub5"
"49",754,1511,NA,NA,NA,"Coal","Aug",11,"shrub",6,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugshrub6"
"50",755,1675,NA,NA,NA,"Coal","July",19,"shrub",6,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyshrub6"
"51",756,1523,NA,NA,NA,"Coal","Aug",11,"shrub",7,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugshrub7"
"52",757,1531,1089,NA,NA,"Coal","Aug",11,"shrub",8,"PT","ET",6,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugshrub8"
"53",758,1698,NA,NA,NA,"Coal","July",19,"shrub",8,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyshrub8"
"54",759,1548,NA,NA,NA,"Coal","Aug",11,"shrub",9,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugshrub9"
"55",760,1833,NA,NA,NA,"Coal","Sept",9,"shrub",9,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptshrub9"
"56",761,1711,NA,NA,NA,"Coal","July",19,"shrub",10,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyshrub10"
"57",762,1846,NA,NA,NA,"Coal","Sept",9,"shrub",10,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptshrub10"
"58",763,1854,NA,NA,NA,"Coal","Sept",9,"shrub",11,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptshrub11"
"59",764,1583,NA,NA,NA,"Coal","Aug",11,"shrub",12,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugshrub12"
"60",765,1739,239,NA,NA,"Coal","July",19,"shrub",12,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyshrub12"
"61",766,1870,NA,NA,NA,"Coal","Sept",9,"shrub",12,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptshrub12"
"62",767,2081,NA,NA,NA,"Lok","Sept",26,"open",1,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokSeptopen1"
"63",768,1980,NA,NA,NA,"Lok","July",17,"open",2,"PT","ET",6,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyopen2"
"64",769,1994,NA,NA,NA,"Lok","July",17,"open",3,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyopen3"
