"","Cyphomyrmexwheeleri","Dorymyrmexbicolor","Dorymyrmexinsanus","Foreliuspruinosis","Messorandrei","Messorpergandei","Myrmecocystus","Pheidolehyatti","Pogonomyrmexcalifornicus","Solenopsisaurea","Solenopsismolesta","Solenopsisxyloni","Temnothoraxandrei","uniID"
"324",0,0,0,0,0,0,7,0,0,0,0,9,0,"MovJulyopen7"
"325",0,0,0,0,0,0,1,0,0,0,0,0,0,"MovJulyopen8"
"326",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovJulyopen9"
"327",0,0,0,0,0,0,0,0,0,0,0,4,0,"MovJulyshrub1"
"328",0,0,0,0,0,0,0,0,0,0,0,75,0,"MovJulyshrub10"
"329",0,0,0,0,0,0,0,0,0,0,0,2,0,"MovJulyshrub11"
"330",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovJulyshrub12"
"331",0,0,0,0,0,0,1,0,0,0,0,35,0,"MovJulyshrub2"
"332",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovJulyshrub3"
"333",0,0,0,0,0,0,0,1,0,0,0,13,0,"MovJulyshrub4"
"334",0,0,0,0,0,0,3,0,0,0,0,8,0,"MovJulyshrub5"
"335",0,0,0,0,0,0,0,0,0,0,0,3,0,"MovJulyshrub6"
"336",0,0,0,0,0,0,1,0,0,0,0,3,0,"MovJulyshrub7"
"337",0,0,0,0,0,0,1,0,0,0,0,0,0,"MovJulyshrub8"
"338",0,0,0,0,0,0,0,0,0,0,0,2,0,"MovJulyshrub9"
"339",0,0,0,0,0,0,4,0,0,0,1,82,0,"MovSeptopen1"
"340",0,0,0,0,0,0,0,0,0,0,0,3,0,"MovSeptopen10"
"341",0,0,0,0,0,2,0,0,0,0,0,0,0,"MovSeptopen11"
"342",0,0,0,0,0,18,0,0,0,0,0,0,0,"MovSeptopen12"
"343",0,0,0,0,0,0,5,0,0,0,0,47,0,"MovSeptopen2"
"344",0,0,0,0,0,0,0,0,0,0,0,64,0,"MovSeptopen3"
"345",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovSeptopen4"
"346",0,2,0,0,0,0,1,0,0,0,0,25,0,"MovSeptopen5"
"347",0,7,0,0,0,1,0,0,0,0,0,39,0,"MovSeptopen6"
"348",0,16,0,0,0,0,3,0,0,0,0,100,0,"MovSeptopen7"
"349",0,1,0,0,0,0,2,11,0,0,0,1,0,"MovSeptopen8"
"350",0,0,0,0,0,0,0,0,0,0,0,3,0,"MovSeptopen9"
"351",0,0,0,0,0,0,4,0,0,0,0,63,0,"MovSeptshrub1"
"352",0,0,0,0,0,50,0,1,0,0,0,8,0,"MovSeptshrub11"
"353",0,0,0,0,0,8,0,1,0,0,0,3,0,"MovSeptshrub12"
"354",0,0,0,0,0,0,1,0,0,0,0,2,0,"MovSeptshrub2"
"355",0,0,0,0,0,0,0,0,0,0,0,1,0,"MovSeptshrub3"
"356",0,0,0,0,0,0,0,0,0,0,0,3,0,"MovSeptshrub4"
