"","gabi_acc_number","accession_number","citation","genus_name_pub","species_name_pub","valid_species_name","type_of_data","dubious","note_dubious","locality","country","adm1","adm2","dec_lat","dec_long","bentity2_name","insert_date","update_date"
"69","GABI_02328056","Benoit-Lit-Data-990246","UAiC_UAiC1025883_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"70","GABI_02328057","Benoit-Lit-Data-990247","UAiC_UAiC1025884_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"71","GABI_01911292","Benoit-Lit-Data-563379","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni","Solenopsis.xyloni","Literature","","","6km SSW Knoxville","USA","California","Napa County","38.800106","-122.359573","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
"72","GABI_01911293","Benoit-Lit-Data-563400","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni","Solenopsis.xyloni","Literature","","","10km W Winters","USA","California","Yolo County","38.535784","-122.093728","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
"73","GABI_01911294","Benoit-Lit-Data-563369","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni","Solenopsis.xyloni","Literature","","","Black Diamond Mines Regional Preserve","USA","California","Contra Costa County","37.971892","-121.861387","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
"74","GABI_01911295","Benoit-Lit-Data-563399","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni","Solenopsis.xyloni","Literature","","","7km NNW Sutter","USA","California","Sutter County","39.239876","-121.795801","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
"75","GABI_01911296","Benoit-Lit-Data-563401","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni","Solenopsis.xyloni","Literature","","","Davis","USA","California","Yolo County","38.55453","-121.737176","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
"76","GABI_01911297","Benoit-Lit-Data-563371","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni (bicolor)","Solenopsis.xyloni","Literature","","","Coalinga, Keck Park","USA","California","Fresno County","36.139309","-120.368948","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
"77","GABI_01911298","Benoit-Lit-Data-563372","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni (bicolor)","Solenopsis.xyloni","Literature","","","Coalinga, West Hills Community College","USA","California","Fresno County","36.150262","-120.355038","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
"78","GABI_01911299","Benoit-Lit-Data-563397","Chialvo P., D. A. Gotzek, D. Shoemaker, and K. G. Ross. 2018. Genetic analyses reveal cryptic diversity in the native North American fire ants (Hymenoptera: Formicidae: Solenopsis). Systematic Entomology 43: 109–122.","Solenopsis","xyloni","Solenopsis.xyloni","Literature","","","S end Sedgewick Ranch","USA","California","Santa Barbara County","34.693062","-120.040663","California","2018/07/24 22:28:10.212726+09","2019/06/30 09:45:05.602033+09"
